 | ''Forme imperfective de'' , ''Forme continuative de''
れ | ''Forme hypothétique de''
て | ''Forme en -te de'' , ''Forme suspensive neutre de''
ます | ''Forme polie non passée de''
ません | ''Forme polie négative non passée de''
ない | ''Forme neutre négative non passée de''
ました | ''Forme polie affirmative passée de''
ませんでした | ''Forme polie négative passée de''
た | ''Forme neutre affirmative passée de''
なかった | ''Forme neutre négative passée de''
なさい | ''Forme impérative en -nasai de''
なさるな | ''Forme impérative en -nasaruna de''
るな | ''Forme impérative en -e négative de''
ると | ''Forme conditionnelle/subjonctive en to de''
ろ | ''Forme impétative de'' , ''Forme impérative en -e affirmative de''
れば | ''Forme conditionnelle/subjonctive en -(e)ba de''
るなら | ''Forme conditionnelle/subjonctive en nara de''
たら | ''Forme conditionnelle/subjonctive en -tara de''
ながら | ''Forme gérondif de''
ている | ''Forme progressive de''
たり | ''Forme suspensive polie de''
ましょう | ''Forme conjecturale/volitive polie de''
よう | ''Forme conjecturale/volitive neutre de''
たい | ''Forme désidérative de''
られる | ''Forme passive de'' , ''Forme potentielle de''
させる | ''Forme factitive causative de''
