か | ''Forme imperfective de''
き | ''Forme continuative de''
け | ''Forme hypothétique de'' , ''Forme impérative de'' , ''Forme impérative neutre affirmative de''
いて | ''Forme en -te de'' , ''Forme suspensive neutre de''
きます | ''Forme polie non passée de''
きません | ''Forme polie négative non passée de''
かない | ''Forme neutre négative non passée de''
きました | ''Forme polie affirmative passée de''
きませんでした | ''Forme polie négative passée de''
いた | ''Forme neutre affirmative passée de''
かなかった | ''Forme neutre négative passée de''
きなさい | ''Forme impérative en -nasai de''
きなさるな | ''Forme impérative en -nasaruna de''
くな | ''Forme impérative en -e négative de''
くと | ''Forme conditionnelle/subjonctive en to de''
けば | ''Forme conditionnelle/subjonctive en -(e)ba de''
くなら | ''Forme conditionnelle/subjonctive en nara de''
いたら | ''Forme conditionnelle/subjonctive en -tara de''
きながら | ''Forme gérondif de''
いている | ''Forme progressive de''
いたり | ''Forme suspensive polie de''
きましょう | ''Forme conjecturale/volitive polie de''
こう | ''Forme conjecturale/volitive neutre de''
きたい | ''Forme désidérative de''
かれる | ''Forme passive de''
かせる | ''Forme factitive causative de''
ける | ''Forme potentielle de''
