ま | ''Forme imperfective de''
み | ''Forme continuative de''
め | ''Forme hypothétique de'' , ''Forme impérative de'' , ''Forme impérative neutre affirmative de''
んで | ''Forme en -te de'' , ''Forme suspensive neutre de''
みます | ''Forme polie non passée de''
みません | ''Forme polie négative non passée de''
まない | ''Forme neutre négative non passée de''
みました | ''Forme polie affirmative passée de''
みませんでした | ''Forme polie négative passée de''
んだ | ''Forme neutre affirmative passée de''
まなかった | ''Forme neutre négative passée de''
みなさい | ''Forme impérative en -nasai de''
みなさるな | ''Forme impérative en -nasaruna de''
むな | ''Forme impérative en -e négative de''
むと | ''Forme conditionnelle/subjonctive en to de''
めば | ''Forme conditionnelle/subjonctive en -(e)ba de''
むなら | ''Forme conditionnelle/subjonctive en nara de''
んだら | ''Forme conditionnelle/subjonctive en -tara de''
みながら | ''Forme gérondif de''
んでいる | ''Forme progressive de''
んだり | ''Forme suspensive polie de''
みましょう | ''Forme conjecturale/volitive polie de''
もう | ''Forme conjecturale/volitive neutre de''
みたい | ''Forme désidérative de''
まれる | ''Forme passive de''
ませる | ''Forme factitive causative de''
める | ''Forme potentielle de''
