さ | ''Forme imperfective de''
し | ''Forme continuative de''
せ | ''Forme hypothétique de'' , ''Forme impérative de'' , ''Forme impérative neutre affirmative de''
して | ''Forme en -te de'' , ''Forme suspensive neutre de''
します | ''Forme polie non passée de''
しません | ''Forme polie négative non passée de''
さない | ''Forme neutre négative non passée de''
しました | ''Forme polie affirmative passée de''
しませんでした | ''Forme polie négative passée de''
した | ''Forme neutre affirmative passée de''
さなかった | ''Forme neutre négative passée de''
しなさい | ''Forme impérative en -nasai de''
しなさるな | ''Forme impérative en -nasaruna de''
すな | ''Forme impérative en -e négative de''
すと | ''Forme conditionnelle/subjonctive en to de''
せば | ''Forme conditionnelle/subjonctive en -(e)ba de''
すなら | ''Forme conditionnelle/subjonctive en nara de''
したら | ''Forme conditionnelle/subjonctive en -tara de''
しながら | ''Forme gérondif de''
している | ''Forme progressive de''
したり | ''Forme suspensive polie de''
しましょう | ''Forme conjecturale/volitive polie de''
そう | ''Forme conjecturale/volitive neutre de''
したい | ''Forme désidérative de''
される | ''Forme passive de''
させる | ''Forme factitive causative de''
せる | ''Forme potentielle de''
