わ | ''Forme imperfective de''
い | ''Forme continuative de''
え | ''Forme hypothétique de'' , ''Forme impérative de'' , ''Forme impérative neutre affirmative de''
って | ''Forme en -te de'' , ''Forme suspensive neutre de''
います | ''Forme polie non passée de''
いません | ''Forme polie négative non passée de''
わない | ''Forme neutre négative non passée de''
いました | ''Forme polie affirmative passée de''
いませんでした | ''Forme polie négative passée de''
った | ''Forme neutre affirmative passée de''
わなかった | ''Forme neutre négative passée de''
いなさい | ''Forme impérative en -nasai de''
いなさるな | ''Forme impérative en -nasaruna de''
うな | ''Forme impérative en -e négative de''
うと | ''Forme conditionnelle/subjonctive en to de''
えば | ''Forme conditionnelle/subjonctive en -(e)ba de''
うなら | ''Forme conditionnelle/subjonctive en nara de''
ったら | ''Forme conditionnelle/subjonctive en -tara de''
いながら | ''Forme gérondif de''
っている | ''Forme progressive de''
ったり | ''Forme suspensive polie de''
いましょう | ''Forme conjecturale/volitive polie de''
おう | ''Forme conjecturale/volitive neutre de''
いたい | ''Forme désidérative de''
われる | ''Forme passive de''
わせる | ''Forme factitive causative de''
える | ''Forme potentielle de''
