decl,number,case,suffix,definition
1,sg,as,u,''Accusatif singulier de'',
1,sg,gs,a,''Génitif singulier de'',
1,sg,ds,am,''Datif singulier de'',
1,sg,is,u,''Instrumental singulier de'',
1,sg,ls,ā,''Locatif singulier de'',
1,sg,vs,s,''Vocatif singulier de'',1
1,pl,np,i,''Nominatif pluriel de'',
1,pl,ap,us,''Accusatif pluriel de'',
1,pl,gp,u,''Génitif pluriel de'',
1,pl,dp,iem,''Datif pluriel de'',
1,pl,ip,iem,''Instrumental pluriel de'',
1,pl,lp,os,''Locatif pluriel de'',
1,pl,vp,i,''Vocatif pluriel de'',2
2,sg,as,i,''Accusatif singulier de'',
2,sg,gs,a,''Génitif singulier de'',
2,sg,ds,im,''Datif singulier de'',
2,sg,is,i,''Instrumental singulier de'',
2,sg,ls,ī,''Locatif singulier de'',
2,sg,vs,i,''Vocatif singulier de'',1
2,pl,np,i,''Nominatif pluriel de'',
2,pl,ap,us,''Accusatif pluriel de'',
2,pl,gp,u,''Génitif pluriel de'',
2,pl,dp,iem,''Datif pluriel de'',
2,pl,ip,iem,''Instrumental pluriel de'',
2,pl,lp,os,''Locatif pluriel de'',
2,pl,vp,i,''Vocatif pluriel de'',2
3,sg,as,u,''Accusatif singulier de'',
3,sg,gs,us,''Génitif singulier de'',
3,sg,ds,um,''Datif singulier de'',
3,sg,is,u,''Instrumental singulier de'',
3,sg,ls,ū,''Locatif singulier de'',
3,sg,vs,us,''Vocatif singulier de'',1
3,pl,np,i,''Nominatif pluriel de'',
3,pl,ap,us,''Accusatif pluriel de'',
3,pl,gp,u,''Génitif pluriel de'',
3,pl,dp,iem,''Datif pluriel de'',
3,pl,ip,iem,''Instrumental pluriel de'',
3,pl,lp,os,''Locatif pluriel de'',
3,pl,vp,i,''Vocatif pluriel de'',2
4,sg,as,u,''Accusatif singulier de'',
4,sg,gs,as,''Génitif singulier de'',
4,sg,ds,ai,''Datif singulier de'',
4,sg,is,u,''Instrumental singulier de'',
4,sg,ls,ā,''Locatif singulier de'',
4,sg,vs,a,''Vocatif singulier de'',1
4,pl,np,as,''Nominatif pluriel de'',
4,pl,ap,as,''Accusatif pluriel de'',
4,pl,gp,u,''Génitif pluriel de'',
4,pl,dp,ām,''Datif pluriel de'',
4,pl,ip,ām,''Instrumental pluriel de'',
4,pl,lp,ās,''Locatif pluriel de'',
4,pl,vp,as,''Vocatif pluriel de'',2
5,sg,as,i,''Accusatif singulier de'',
5,sg,gs,es,''Génitif singulier de'',
5,sg,ds,ei,''Datif singulier de'',
5,sg,is,i,''Instrumental singulier de'',
5,sg,ls,ē,''Locatif singulier de'',
5,sg,vs,e,''Vocatif singulier de'',1
5,pl,np,es,''Nominatif pluriel de'',
5,pl,ap,es,''Accusatif pluriel de'',
5,pl,gp,u,''Génitif pluriel de'',
5,pl,dp,ēm,''Datif pluriel de'',
5,pl,ip,ēm,''Instrumental pluriel de'',
5,pl,lp,ēs,''Locatif pluriel de'',
5,pl,vp,es,''Vocatif pluriel de'',2
6,sg,as,i,''Accusatif singulier de'',
6,sg,gs,s,''Génitif singulier de'',
6,sg,ds,ij,''Datif singulier de'',
6,sg,is,i,''Instrumental singulier de'',
6,sg,ls,ī,''Locatif singulier de'',
6,sg,vs,s,''Vocatif singulier de'',1
6,pl,np,is,''Nominatif pluriel de'',
6,pl,ap,is,''Accusatif pluriel de'',
6,pl,gp,u,''Génitif pluriel de'',
6,pl,dp,īm,''Datif pluriel de'',
6,pl,ip,īm,''Instrumental pluriel de'',
6,pl,lp,īs,''Locatif pluriel de'',
6,pl,vp,is,''Vocatif pluriel de'',2
