ら "''Forme imperfective de'' "
り "''Forme continuative de'' "
れ "''Forme hypothétique de'' ", "Forme impérative de'' ", "''Forme impérative neutre affirmative de'' "
って "''Forme en -te de'' ", "''Forme suspensive neutre de'' "
ります "''Forme polie non passée de'' "
りません "''Forme polie négative non passée de'' "
らない "''Forme neutre négative non passée de'' "
りました "''Forme polie affirmative passée de'' "
りませんでした "''Forme polie négative passée de'' "
った "''Forme neutre affirmative passée de'' "
らなかった "''Forme neutre négative passée de'' "
りなさい "''Forme impérative en -nasai de'' "
りなさるな "''Forme impérative en -nasaruna de'' "
るな "''Forme impérative en -e négative de'' "
ると "''Forme conditionnelle/subjonctive en to de'' "
れば "''Forme conditionnelle/subjonctive en -(e)ba de'' "
るなら "''Forme conditionnelle/subjonctive en nara de'' "
ったら "''Forme conditionnelle/subjonctive en -tara de'' "
りながら "''Forme gérondif de'' "
っている "''Forme progressive de'' "
ったり "''Forme suspensive polie de'' "
りましょう "''Forme conjecturale/volitive polie de'' "
ろう "''Forme conjecturale/volitive neutre de'' "
りたい "''Forme désidérative de'' "
られる "''Forme passive de'' "
らせる "''Forme factitive causative de'' "
らず "''Forme potentielle de'' "
